"X","site","block","plot","position_x","position_y","species","sp","mother","micro_topography","light","sand","time","height","diameter","survival","flood"
200,"A1","B","Low",0,280,"Parashorea tomentella","Ptom","Allptom4a",18.2266666666667,23,49.024,0,NA,NA,1,NA
201,"A1","B","Low",40,0,"Shorea smithiana","Ssmi","9HSsmi4m",24.7266666666667,23,49.024,0,NA,NA,1,NA
202,"A1","B","Low",40,40,"Shorea waltonii","Swal","Swal1",20.1266666666667,23,49.024,0,NA,NA,1,NA
203,"A1","B","Low",40,80,"Parashorea malaanonan","Pmal","9PmalRDC1m",20.4266666666667,23,49.024,0,NA,NA,1,NA
204,"A1","B","Low",40,120,"Shorea falciferoides","Sfal","Sfal1",17.0266666666667,23,49.024,0,NA,NA,1,NA
205,"A1","B","Low",40,160,"Shorea xanthophylla","Sxan","8LSxan10m",16.1266666666667,23,49.024,0,NA,NA,1,NA
206,"A1","B","Low",40,200,"Shorea leprosula","Slep","8PSlep2a",16.3266666666667,23,49.024,0,NA,NA,1,NA
207,"A1","B","Low",40,240,"Dryobalanops lanceolata","Dry","Dry1",16.3266666666667,23,49.024,0,NA,NA,1,NA
208,"A1","B","Low",40,280,"Shorea leprosula","Slep","Slep1RDCm",15.7266666666667,23,49.024,0,NA,NA,1,NA
209,"A1","B","Low",80,0,"Shorea falciferoides","Sfal","Sfal1",23.5266666666667,23,49.024,0,NA,NA,1,NA
210,"A1","B","Low",80,40,"Dryobalanops lanceolata","Dry","Dry1",20.7266666666667,23,49.024,0,NA,NA,1,NA
211,"A1","B","Low",80,80,"Parashorea tomentella","Ptom","PtomRDC2m",20.5266666666667,23,49.024,0,NA,NA,1,NA
212,"A1","B","Low",80,120,"Shorea pauciflora","Spau","Spau1",18.2266666666667,23,49.024,0,NA,NA,1,NA
213,"A1","B","Low",80,160,"Shorea waltonii","Swal","Swal1",16.0266666666667,23,49.024,0,NA,NA,1,NA
214,"A1","B","Low",80,200,"Shorea macroptera","Smac","Smac1",15.7266666666667,23,49.024,0,NA,NA,1,NA
215,"A1","B","Low",80,240,"Shorea seminis","Ssem","Ssem1",15.6266666666667,23,49.024,0,NA,NA,1,NA
216,"A1","B","Low",80,280,"Shorea pauciflora","Spau","Spau1",19.2266666666667,23,49.024,0,NA,NA,1,NA
217,"A1","B","Low",120,0,"Shorea acuminatissima","Sacu","9OSacu3",23.7266666666667,23,49.024,0,NA,NA,1,NA
