"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"163","11IDCAU16",604511.0687,647379.9181,"Dipterocarpus caudiferus","Dcau",40,69.5,"Subcanopy",68.43201,0.632142857142857
"164","11IDCAU17",604433.4984,647422.1678,"Dipterocarpus caudiferus","Dcau",40,52.5,"Subcanopy",71.59901,0.632142857142857
"165","11IDCAU18",604420.5411,647444.2573,"Dipterocarpus caudiferus","Dcau",40,42.5,"Subcanopy",69.01601,0.632142857142857
"166","11IDCAU2",604455.8113,647320.8617,"Dipterocarpus caudiferus","Dcau",40,49.5,"Subcanopy",69.36301,0.632142857142857
"167","11IDCAU3",604505.691,647285.9359,"Dipterocarpus caudiferus","Dcau",40,120,"Subcanopy",69.648,0.632142857142857
"168","11IDCAU4",604533.4188,647256.5006,"Dipterocarpus caudiferus","Dcau",40,49.5,"Subcanopy",72.192,0.632142857142857
"169","11IDCAU5",604557.2692,647333.9305,"Dipterocarpus caudiferus","Dcau",40,65,"Subcanopy",71.35001,0.632142857142857
"170","11IDCAU6",604551.718,647343.1343,"Dipterocarpus caudiferus","Dcau",40,95.5,"Subcanopy",68.967,0.632142857142857
"171","11IDCAU7",604549.9019,647330.2329,"Dipterocarpus caudiferus","Dcau",40,65,"Subcanopy",70.32401,0.632142857142857
"172","11IDCAU8",604537.0405,647295.2016,"Dipterocarpus caudiferus","Dcau",40,42,"Subcanopy",71.394,0.632142857142857
"173","11IDCAU9",604548.118,647291.535,"Dipterocarpus caudiferus","Dcau",40,42.5,"Subcanopy",73.37901,0.632142857142857
"174","11JDCAU1",604640.2171,647385.6632,"Dipterocarpus caudiferus","Dcau",40,42,"Subcanopy",69.648,0.632142857142857
"175","11JDCAU2",604682.6334,647404.1608,"Dipterocarpus caudiferus","Dcau",40,105,"Subcanopy",77.442,0.632142857142857
"176","11JDCAU3",604682.5962,647426.2721,"Dipterocarpus caudiferus","Dcau",40,76.3,"Subcanopy",77.19701,0.632142857142857
"177","11JDCAU4",604686.2798,647428.1208,"Dipterocarpus caudiferus","Dcau",40,75,"Subcanopy",76.972,0.632142857142857
"178","11JDCAU5",604682.6427,647398.633,"Dipterocarpus caudiferus","Dcau",40,49.8,"Subcanopy",77.619,0.632142857142857
"179","11JDCAU6",604721.3364,647431.8652,"Dipterocarpus caudiferus","Dcau",40,46.5,"Subcanopy",68.248,0.632142857142857
"180","11JDCAU7",604758.3177,647384.0195,"Dipterocarpus caudiferus","Dcau",40,45.7,"Subcanopy",73.856,0.632142857142857
"181","11KDCAU1",604964.9888,647382.5256,"Dipterocarpus caudiferus","Dcau",40,58,"Subcanopy",77.19901,0.632142857142857
